"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
9,1110,0.03148285
9,1125,0.03160112
9,1140,0.03171583
9,1155,0.03182694
9,1170,0.03193436
9,1185,0.03203806
9,1200,0.03213796
9,1215,0.03223402
9,1230,0.0323262
9,1245,0.03241444
9,1260,0.03249872
9,1275,0.03257899
9,1290,0.03265522
9,1305,0.03272738
9,1320,0.03279544
9,1335,0.0328594
9,1350,0.03291921
9,1365,0.03297488
9,1380,0.03302638
9,1395,0.03307371
9,1410,0.03311686
9,1425,0.03315583
9,1440,0.03319062
10,0,0
10,3,2.435618E-07
10,6,1.213255E-05
10,9,8.984617E-05
10,12,0.000335637
10,15,0.0008834839
10,18,0.001878102
10,21,0.003456211
10,24,0.005733307
10,27,0.008795964
10,30,0.0126984
10,33,0.01746209
10,36,0.02307774
10,39,0.02950859
10,42,0.03669452
10,45,0.04455666
10,48,0.05300207
10,51,0.06192823
10,54,0.07122722
10,57,0.08078943
10,60,0.09050679
10,63,0.1002754
10,66,0.1099976
10,69,0.1195837
10,72,0.1289528
10,75,0.138034
10,78,0.1467661
10,81,0.1550979
10,84,0.1629883
10,87,0.1704051
10,90,0.1773251
10,93,0.1837332
10,96,0.1896215
10,99,0.1949885
10,102,0.1998389
10,105,0.2041817
10,108,0.2080305
10,111,0.2114023
10,114,0.2143169
10,117,0.2167961
10,120,0.2188636
10,135,0.2239053
10,150,0.2224096
10,165,0.217119
10,180,0.2100772
